,neighbourhood,quality_score,population
0,Downtown,8.171197663618202,62030
1,Fairview,7.548732405699507,33620
2,Renfrew-Collingwood,7.480930157788512,51530
3,West End,7.292999493137421,47200
4,Strathcona,7.207733400000824,12585
5,Mount Pleasant,7.156685194354345,32955
6,Kensington-Cedar Cottage,7.084412749587237,49325
7,Kitsilano,6.837748062590214,43045
8,South Cambie,6.810111092438196,7970
9,Marpole,6.490731323860745,24460
10,Oakridge,6.333999183094617,13030
11,Grandview-Woodland,6.121514662185274,29175
12,Shaughnessy,5.954143555510458,8430
13,West Point Grey,5.540386382225392,13065
14,Hastings-Sunrise,5.523201394820067,34575
15,Riley Park,5.497855277305144,22555
16,Kerrisdale,5.335696853599296,13975
17,Arbutus-Ridge,5.184908039281111,15295
18,Sunset,5.149135999136307,36500
19,Victoria-Fraserview,4.928067571087921,31065
20,Killarney,4.848142844573897,29325
21,Dunbar-Southlands,4.5291723158688155,21425
22,Stanley Park,2.6612032444414306,0
